language,pegon,latin
Jawa,تاريخ,tariḵ
Jawa,والى,wali
Jawa,سڠا,sṅa
Jawa,نࣤرَاڠَاكࣤنْ,něraṅakěn
Jawa,بَبَادْاِيْفُونْ,babadipun
Jawa,وَالِىْ٢,wali2
Jawa,تَنَهْ,tanah
Jawa,جَاوِىْ,jawi
Jawa,دِيْفُوْنْ,dipun
Jawa,تَامْبَهْ,tambah
Jawa,چَاࢌࣤتَانْ٢,caṭětan2
Jawa,تَارِيخْ,tariḵ
Jawa,اِنْࢮَوْنَيْسِيَا,inḍonesia
Jawa,كَنْࢌِىْ,kanṭi
Jawa,رِيْڠكࣤسْ,riṅkěs
Jawa,طبع,ṯb'
Jawa,على,'li
Jawa,نفقة,npqat
Jawa,حقوق,ẖquq
Jawa,الطبع,aṯ-ṯab'
Jawa,والنقل,wal-naqal
Jawa,محفوظة,maẖfuẕat
Jawa,له,lah
Jawa,عِلْمُ,'ilmu
Jawa,التَّارِيْخِ,at-tariḵi
Jawa,عِلْمٌ,'ilmun
Jawa,يُعْرَفُ,yu'rafu
Jawa,بِهِ,bihi
Jawa,اَحْوَالُ,aẖwalu
Jawa,المَاضِيِّيْنَ,al-maḏiyyina
Jawa,وَثَمْرَتُهُ,waṫamratuhu
Jawa,اِعْطَاءُ,i'ṯa`u
Jawa,ذِىْ,ḋi
Jawa,حَقٍّ,ẖaqqin
Jawa,حَقَّهُ,ẖaqqahu
Jawa,وَاسْتِرْجَاعُ,wastirja'u
Jawa,النُّفُوْسِ,an-nufusi
Jawa,وَاسْتِكْثَارُهَا,wastikṫaruha
Jawa,مِنَ,mina
Jawa,الْاَعْمَالِ,al-a'mali
Jawa,الصَّالِحَةِ,aṣ-ṣaliẖati
Jawa,وَتَثْبِيْتُهَا,wataṫbituha
Jawa,قَالَ,qala
Jawa,اللهُ,allāhu
Jawa,تَعَالٰى,ta'alā
Jawa,وَكُلًّا,wakullan
Jawa,نَقُصُّ,naquṣṣu
Jawa,عَلَيْكَ,'alaika
Jawa,مِنْ,min
Jawa,اَنْبَاءِ,anba`i
