pegon,latin
تاريخ,tariḵ
والى,wali
سڠا,sṅa
نࣤرَاڠَاكࣤنْ,něraṅakěn
بَبَادْاِيْفُونْ,babadipun
وَالِىْ٢,wali2
تَنَهْ,tanah
جَاوِىْ,jawi
دِيْفُوْنْ,dipun
تَامْبَهْ,tambah
چَاࢌࣤتَانْ٢,caṭětan2
تَارِيخْ,tariḵ
اِنْࢮَوْنَيْسِيَا,inḍonesia
كَنْࢌِىْ,kanṭi
رِيْڠكࣤسْ,riṅkěs
طبع,ṯb'
على,'li
نفقة,npqat
حقوق,ẖquq
الطبع,aṯ-ṯab'
والنقل,wal-naqal
محفوظة,maẖfuẕat
له,lah
عِلْمُ,'ilmu
التَّارِيْخِ,at-tariḵi
عِلْمٌ,'ilmun
يُعْرَفُ,yu'rafu
بِهِ,bihi
اَحْوَالُ,aẖwalu
المَاضِيِّيْنَ,al-maḏiyyina
وَثَمْرَتُهُ,waṫamratuhu
اِعْطَاءُ,i'ṯa`u
ذِىْ,ḋi
حَقٍّ,ẖaqqin
حَقَّهُ,ẖaqqahu
وَاسْتِرْجَاعُ,wastirja'u
النُّفُوْسِ,an-nufusi
وَاسْتِكْثَارُهَا,wastikṫaruha
مِنَ,mina
الْاَعْمَالِ,al-a'mali
الصَّالِحَةِ,aṣ-ṣaliẖati
وَتَثْبِيْتُهَا,wataṫbituha
قَالَ,qala
اللهُ,allāhu
تَعَالٰى,ta'alā
وَكُلًّا,wakullan
نَقُصُّ,naquṣṣu
عَلَيْكَ,'alaika
مِنْ,min
اَنْبَاءِ,anba`i
الرُّسُلِ,ar-rusuli
مَا,ma
نُثَبِّتُ,nuṫabbitu
بِهٖ,bihī
فُؤَادَكَ,fuadaka
وَعَنْ,wa'an
سَعْدِ,sa'di
ابْنِ,abni
اَبِىْ,abi
وَقَّاصٍ,waqqaṣin
رَضِيَ,raḏiya
الله,allāh
عَنْهُ,'anhu
اَنَّهُ,annahu
كَانَ,kana
يُعَلِّمُنَا,yu'allimuna
مَغَازِيَ,maġaziya
رَسُوْلِ,rasuli
اللهِ,allāhi
وَسَرَايَاهُ,wasarayahu
فَيَقُوْلُ,fayaqulu
يٰا,yā
بُنَيَّ,bunayya
هٰذِهٖ,hāḋihī
شَرَفُ,śarafu
اٰبَائِكُمْ,ābaikum
فَلَا,pala
تَنْسَوْا,tanso
ذِكْرَهَا,ḋikraha
الزَّيْنُ,az-zainu
العِرَاقِيُّ,al-'iraqiyyu
رَحِمَهُ,raẖimahu
وَلْيَعْلَمِ,walya'lami
الطَّالِبُ,aṯ-ṯalibu
أَنَّ,anna
السِّيَرَا,as-siyara
تَجْمَعُ,tajma'u
صَحَّ,ṣaẖẖa
وَمَا,wama
قَدْ,qad
اَنْكَرَا,ankara
وَقَالَ,waqala
الْاِمَامُ,al-imamu
اَحْمَدْ,aẖmad
ابْنُ,abnu
حَنْبَلٍ,ẖanbalin
وَغَيْرُهُ,waġairuhu
الاَئِمَّةِ,al-aimmati
اِذَا,iḋa
رَوَيْنَا,rawaina
فِى,fi
الْحَلَالِ,al-ẖalali
وَالْحَرَامِ,wal-ẖarami
شَدَّدْنَا,śaddadna
وَ,wa
الْفَضَائِلِ,al-faḏaili
تَسَاهَلْنَا,tasahalna
الْحَمْدُ,al-ẖamdu
لِلّٰهِ,lillāhi
وَالصَّلَاةُ,waṣ-ṣalatu
وَالسَّلَامُ,was-salamu
عَلٰى,'alā
سَيِّدِنَا,sayyidina
مُحَمَّدٍ,muẖammadin
آلِهٖ,ālihī
صَحْبِهٖ,ṣaẖbihī
مَنْ,man
وَالَاهُ,walahu
وَبَعْدُ,waba'du
وِيْوِيْت,wiwit
كِيْتَا,kita
بَوْڠصَا,boṅṣa
اِيْنࢮَوْنِسِيَا,inḍonisia
دَادَوْس,dados
اِڠْكَڠْ,iṅkaṅ
مࣤرْدِيْكَا,měrdika
رُوْفِىْ٢نِيْفُوْن,rupi2nipun
لَاجࣤڠْ,lajěṅ
سَامِىْ,sami
ڮِيْيَاتْ,giat
نَالُوْرِىْ,naluri
لࣤلُوْهُوْر٢,lěluhur2
بَبَادْ٢دِيْڤُوْن,babad2dipun
سِيْنَاهُوْ,sinau
شࣤجَرَهْ٢,śějarah2
دِيْفُوْن,dipun
وُوْچَالَاكࣤنْ,wucalakěn
اِڠْ,iṅ
سࣤكَوْلَاهَانْ٢,sěkolahan2
مَاوِىْ,mawi
بَهَاسَا,bahasa
اِنْࢮَوْنِسِيَا,inḍonisia
دَائِرَهْ,dairah
لَنْ,lan
سَانَيْس٢اِيْفُوْن,sanes2ipun
نَاڠِيْڠ,naṅiṅ
بُوْكُوْ٢,buku2
شࣤجَرَهْ,śějarah
سَمْفُوْن,sampun
سُوْمِيْيَارْ,sumiar
اُتَوِىْ,utawi
كَاوُوْچَالَاكࣤنْ,kawucalakěn
مَدْرَسهْ٢,madrasah2
فُوْنِيْكَا,punika
